id,basket_id,flupsy_id,row,position,start_date,end_date,operation_id
2,2,1,SX,1,2025-03-26,,
3,3,2,SX,5,2025-03-26,2025-03-26,
1,1,2,DX,2,2025-03-26,2025-03-26,
5,1,2,DX,3,2025-03-26,2025-03-26,
4,3,2,SX,4,2025-03-26,2025-03-26,
6,1,2,SX,3,2025-03-26,2025-03-26,
7,3,2,SX,3,2025-03-26,2025-03-26,
8,1,2,SX,4,2025-03-26,2025-03-26,
9,3,2,SX,7,2025-03-26,2025-03-26,
12,4,2,SX,2,2025-03-26,,
11,3,2,SX,4,2025-03-26,2025-03-27,
13,3,2,SX,7,2025-03-27,,
10,1,2,SX,7,2025-03-26,2025-03-27,
14,1,2,SX,4,2025-03-27,2025-03-27,
15,1,2,DX,3,2025-03-27,,
